name,pos,pts_ppr_cbs,pts_cbs,pts_nfl,pts_fox,pts_espn
levine_toilolo,TE,3.0,0.0,21.19,17.3,
jacob_hollister,TE,2.0,0.0,8.17,,
jacob_hollister,TE,2.0,0.0,8.17,,
troy_fumagalli,TE,2.0,0.0,0.0,,
troy_fumagalli,TE,2.0,0.0,0.0,,
logan_paulsen,TE,2.0,0.0,6.24,17.7,
logan_paulsen,TE,2.0,0.0,6.24,17.7,
ben_braunecker,TE,0.0,0.0,1.83,7.1,
stephen_gostkowski,K,152.0,156.0,131.59,136.6,
greg_zuerlein,K,147.0,152.0,117.68,102.7,
harrison_butker,K,146.0,150.0,112.68,,
robbie_gould,K,145.0,148.0,113.76,70.9,
chris_boswell,K,137.0,142.0,121.25,125.9,
jake_elliott,K,136.0,142.0,119.8,,
justin_tucker,K,135.0,140.0,114.93,126.2,
matt_bryant,K,134.0,140.0,122.98,125.7,
wil_lutz,K,132.0,137.0,124.15,115.9,
adam_vinatieri,K,128.0,134.0,108.66,118.4,
